Record #,Code / Description,Responsible Party,Unit,Correction Required By:,Status,Picture
HSNG-25-732,"IMMEDIATE CONDEMNATION REAR BARN/GARAGE105.CMR.410. 630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A) (2) (8) (15) (9) 410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(Rear barn/garage converted into living space)",Owner,"","",Cited,""
HSNG-25-732,105.CMR.410.160: Heating Systems (A) (B) (3)(No heating system for illegal barn/garage dwelling. Space heater being used as source of heat),Owner,"","",Corrected,""
HSNG-25-732,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms (A)(Missing smoke detector in bedroom, hallway, and front office)",Owner,"","",Corrected,""
HSNG-25-732,105.CMR.410.260: Means of Egress (A)(Illegal barn/garage dwelling does not have proper second egress)105.CMR.410.270:Locks (A) (5)(Second egress has improper locks),Owner,"","",Cited,""
HSNG-25-730,"105.CMR.410.500 (A) (1) (2)(Active leak in bathroom ceiling, excess moisture and water damage on ceiling and wall, buildup of mold like substance)",Owner,"",11/10/2025,Corrected,""
HSNG-25-725,105.CMR.410.330 Smoke detectors missing ,Owner,"",09/15/2025,Cited,""
HSNG-25-723,"105  CMR 410.235 (A,13) Owner’s Installation and Maintenance Responsibilities (Missing smoke detectors in basement and second floor)",Owner,"","",Corrected,""
HSNG-25-721,"105.CMR.410.270 (A) 1(Main entryway door to residence does not lock, dead bolt is broken, unsecured from unlawful entry)",Owner,"",09/15/2025,Corrected,""
HSNG-25-704,"IMMEDIATE CONDEMNATION—ENTIRE DWELLING DUE TO CURTAILMENT OF UTILITIES105.CMR.410.003:(c) General Provisions(C) No owner or occupant shall cause any service, facility, equipment, or utility which is required to be made available by 105 CMR 410.000, or any optional service, facility, equipment, or utility provided by the owner, to be removed from or shut off from any occupied residence except for such temporary period as may be necessary during actual repairs or alterations and where reasonable notice of curtailment of service is given to the occupant, or during temporary emergencies when curtailment of service is approved by the board of health. If any such service, facility, equipment, or utility becomes curtailed, the responsible party shall take immediate steps to cause its restoration. ( water , gas , electricity shut off )105.CMR.410.130: (A)Potable Water/Sanitary Drainage( water shut off to entire dwelling ) 105.CMR.410.330: (A,B) Smoke Detectors and Carbon Dioxide Detectors ( smokes missing throughout entire dwelling during time of inspection, referral has been made to fire department ) 105.CMR.410.630: (A)(1,3,15)Conditions Deemed to Endanger or Materially Impair Health or Safety",Owner,"","",Cited,""
HSNG-25-698,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.(Non-functioning smoke detector in first and second floor, missing smoke and CO detector in attic and basement)Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.",Owner,"First floor, second floor, attic and basement",10/06/2025,Cited,""
HSNG-25-692,"105 CMR 410.003 (C)General Provisions(Entire dwelling, rooms ,hallways are piled and stacked with household items, clutter, assorted debris, making travel or movement difficult for occupant to pass from room to room and or front and rear egresses. Heavy fire load present, Gas , water shut off ) 105.CMR.410.130: Potable Water/Sanitary Drainage( no water due to broken pipe ) 105CMR.410. 330: (A)Smoke Detectors and Carbon Monoxide Alarms( smokes/ co2's missing/ not working- replace referral has been made to SFD)105 CMR 410.630:(A)(8,10, 15)Conditions Deemed to Endanger or MateriallyImpair Health or Safety.",Owner,"","",Cited,""
HSNG-25-692,"105 .CMR .410.003:(F) General Provisions( Entire dwelling, rooms ,hallways are piled and stacked with household items clutter, assorted debris, making travel or movement difficult for occupant to pass from room to room and or front and rear egresses. Heavy fire load present, piles of feces .Etc )105.CMR.410.260: (B)Means of Egress( Entire dwelling, rooms ,hallways are piled and stacked with household items clutter assorted debris, making travel or movement difficult for occupant to pass from room to room and or front and rear egresses. Heavy fire load present, piles of feces .Etc )105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition ( Entire dwelling, rooms ,hallways are piled and stacked with household items, clutter, assorted debris, making travel or movement difficult for occupant to pass from room to room and or front and rear egresses. Heavy fire load present, piles of feces .Etc )",Tenant,"","",Cited,""
HSNG-25-677,9/10/25105.CMR.410.330: Smoke Detectors and Carbon Monoxide Alarms(A)(No smoke detectors installed - entire unit ),Owner,"",09/11/2025,Corrected,""
HSNG-25-676,"105.CMR.410.330: (A) Smoke Detectors and Carbon Dioxide Detectors A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.",Owner,"","",Corrected,""
HSNG-25-658,"105.CMR.410.235: Owner’s Installation and Maintenance Responsibilities A) The facilities and equipment the owner is required to provide include, but are not limited to:12) Electrical light fixtures, switches, outlets and wiring;( ceiling fan wiring exposed , sparking causing a hazard )  ",Owner,2nd floor ,09/08/2025,Cited,""
HSNG-25-647,"IMMEDIATE CONDEMNATION DUE TO ILLEGAL BASEMENT UNIT105 CMR 410.003 General Provisions(A)(illegal make shift basement unit)105 CMR 410.235 (A,12) Owner’s Installation and Maintenance Responsibilities (Exposed wires in basement Landry room )105 CMR 410.260 Means of Egress (A)(No secondary means of egress in basement unit)105 CMR 410.330 Smoke Detectors and Carbon Monoxide Detectors (A)(No smoke or carbon monoxide detector in basement105 CMR 410.630 Conditions Deemed to Endanger or Mentally Impair Health or Safety (A,8,13,15)",Owner,"","",Cited,""
HSNG-25-635,"",Owner,"","",Cited,""
HSNG-25-635,"MAINTENANCE OF LAND 105.CMR.410.570 (A) ( 1,2,3,4,5)(Backyard has porch material, wooden materials, metal materials, bulk items, miscellaneous debris throughout yard with sharp jagged edges must be removed) Owner’s Installation, Maintenance and Repair Responsibilities -  105.CMR.410.235 (A)(1)(9) (10) (Emergency activity in basement, sewage pipe leaking in basement, active leak coming from kitchen sink, kitchen sink leaking when faucet is turned on) bathroom ventilation broken, not working properly)  structural members -  105.CMR.410.500 (A) (1) (2) (Bathroom, wall and ceiling, water, damaged, unfinished, paint, peeling, chipping, bathroom floor, kick plate unsecured, Room number two wall paint peeling, room number one door framing missing(top of door framing) Kitchen drawer, broken, defective, does not close properly) ",Owner,"","",Cited,""
HSNG-25-610,"IMMEDIATE CONDEMNATION—ENTIRE DWELLING  DUE TO MISSING SMOKES/CO2 DETECTORS , BLOCKED EGRESSES 105 CMR 410.235:(A,12-13,14)Owner’s Installation And Maintenance Responsibilities( exposed wiring , missing smokes/co2 detectors radiator covers missing throughout entire dwelling )105.CMR.410.260: (A,B)Means of Egress( multiple blocked egresses throughout entire dwelling )105.CMR.410.330: (A)Smoke Detectors and Carbon Monoxide Alarms( Missing smoke/co2 detectors throughout entire dwelling )105 CMR 410.500:(A)(1,2)Owner’s Responsibility To Maintain Building and Structural Elements  ( walls, ceilings  with broken plaster throughout entire dwelling )105.CMR.410.570: ( C)Maintenance of Areas in a Sanitary and Safe Condition( multiple areas unsanitary trash,needles,food, broken wood,ETC)105.CMR.410.630: (A 8,10,12,13,15 ) Conditions Deemed to Endanger or Materially Impair Health or Safety ",Owner,"","",Cited,""
HSNG-25-583,"(105.CMR.410.500 ) OWNER’S RESPONSIBILITY TO MAINTAIN BUILDING AND STRUCTURAL ELEMENTS(A) 1, 2 ( B)(105.CMR.410.235) OWNERS, INSTALLATION, MAINTENANCE AND REPAIR RESPONSIBILITIES. (A) 3(105.CMR.410.550) ELIMINATION OF PESTS. (B)* THE BATHROOM TOILET DOES NOT FLUSH, DEFECTIVE.* THERE IS A INFESTATION OF BEES, WHICH ARE COMING FROM AN UNKNOWN SOURCE WHAT ARE VISIBLE IN THE BATHROOM AREA.",Owner,2 L,09/15/2025,Cited,1333188
HSNG-25-550,"*FIXTURE IS FAULTY 105.CMR.410.235 (A) 12*105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements  (A) 1, 2, (B)*105.CMR.410.330 (A) MULTIPLE ELECTRICAL OUTLETS ARE FAULTY, NO POWERSMOKE AND CO2 DETECTORS IN THE UNIT ARE DEFECTIVE, INOPERABLETHE DOOR KNOB HARDWARE TO THE DWELLING UNIT IS BROKEN, DEFECTIVETHE BATHROOM SINK IS LOOSE, NOT SECURED, AND MUST BE CAULKED WHERE IT MEETS THE WALL.THE UNDERCOUNTER REFRIGERATOR IS DEFECTIVE, IN OPERABLETHERE ARE TWO HOLES ON THE WALL WITH UNKNOWN WIRES PROTRUDING. THE HOLES MUST BE SEALED. THE KITCHEN FLOOR HAS MULTIPLE CRACKED TILES WHICH ARE CREATING A TRIP HAZARD","","","",Cited,""
HSNG-25-545,"105 CMR 410.500 (A,1,2) Owner’s Responsibility to Maintain Building and Structural Elements (Front porch not secure, floor board in back porch lifting)",Owner,"","",Cited,""
HSNG-25-542, 105.CMR.410.003 (C)(Gas line to stove has been shut off by Eversource due to crack in connection),Owner,"","",Cited,1327764
HSNG-25-532,105.CMR.410.235: (A)(8)Owner’s Installation and Maintenance Responsibilities ( gas stove top not working referral put in to plumbing dept for licensed plumber to preform work ) ,Owner,"","",Cited,""
HSNG-25-519,105.CMR.410.150: Hot Water(A)(Insufficient hot water temperature at 102.6°F),Owner,"","",Cited,""
HSNG-25-520,105.CMR.410.235:(A)(8 Owner’s Installation and Maintenance Responsibilities ( stove/ oven not working properly must be repaired or replaced) 105.CMR.410.240: (A)(8)Occupant’s Installation and Maintenance Responsibilities ,Both,"","",Cited,""
HSNG-25-505,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms. (A)(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.(Basement is missing CO detector. Smoke detector in basement is working, but it’s not a CO detector)Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.",Owner,Basement,08/26/2025,Corrected,""
HSNG-25-505,"","","","",Corrected,""
HSNG-25-476,"IMMEDIATE CONDEMNATION OF UNITS 1&6 DUE TO NO WORKING SMOKE DETECTORS, NO SECONDARY EGRESS AND EXPOSED WIRES AT ELECTRICAL PANEL105 CMR 410.100 Kitchen Facilities (A,5)(No stove in units) Units 1&6105 CMR 410.235 Owner’s Installation and Maintenance Responsibilities (A,3,12,13)(Toilet leaking at the base causing unsanitary conditions unit 6, No working smoke detectors in units 1&6, exposed wires at electrical panel due to no cover in unit 1)105 CMR 410.260 Means of Egress (A)(B)(No secondary egress in two units) units 1&6105 CMR 410.330 Smoke Detectors and Carbon Monoxide Detectors (A)(Smoke detectors in units 1&6 not working, smoke detectors in common halls are in trouble status at fire alarm panel)105 CMR 410.500 (A,2) Owner’s Responsibility to Maintain Building and Structural Elements (Columns holding roof are not secured, roof rotted)105 CMR 410.570 Maintenance of Areas in a Sanitary and Safe Condition (A,1)Maintenance of Land – YARD PROPERTY TREEBELT AND GUTTERPaper,Plastic,Cardboard,EtcProperty must be cleaned and maintained at all timesTo Avoid A Possible $100.00 Ticket Every 3 Days Until Property Is Completely Cleaned And Maintained. Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.    NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAYTO AVOID IMMEDIATE TICKET(Mattress in side of building)105 CMR 410. 630 (A,7(b),8,12,13,15,)",Owner,"","",Corrected,""
HSNG-25-401,"",Owner,"","",Cited,""
HSNG-25-401,"Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410. 330: (A) (Emergency no smoke detectors or CO2 detectors on third floor) OBSTRUCTED EGRESS OR PASSAGEWAY 105.CMR.410.260 (A)  B,C,D)(Emergency rear, third-floor egress, locked, door, voltage, shut, refrigerator in front of door) ",Owner,"","",Cited,""
HSNG-25-401,"structural members unsound 105.CMR.410.500 (A) (1) (2) (Front porch, window, boarded up, broken, missing room number one window nailed shut) ",Owner,"","",Cited,""
HSNG-25-401,"FIXTURE IS FAULTY 105.CMR.410.235 (A) 12(front porch, light fixture hanging, exposed wires, bulb, missing, insufficient illumination common area) ",Owner,"","",Cited,""
HSNG-25-401,SCREENS FOR WINDOWS MISSING 105.CMR.410.540 (A)(Room number one window screens in disrepair ) ,Owner,"","",Cited,""
HSNG-25-399,"105 CMR 410.235 Owner’s Installation and Maintenance Responsibilities (A,13)(Smoke Detector not working)",Owner,"","",Cited,""
HSNG-25-394,"IMMEDIATE CONDEMNATION OF ENTIRE DWELLING DUE TO NO HEAT105 CMR 410.160 (A) Heating Systems( furnace has been red tagged)105 CMR 410.180 (A,1,2) Temperature Requirements( temp. On first floor 60.4 and second floor 61.3 degrees)105 CMR 410.235 (A,14) Owner's Installation and Maintenance Responsibilities(Furnace for 1st and 2nd floor red tagged)105 CMR 410.520 (A,1) Protective Railings and Wall Guards( railing missing in basement stairwell)105 CMR 410.630 Conditions Deemed to Endanger or Materially Impair Health or Safety(A,2,13,16)",Owner,"","",Corrected,""
HSNG-25-388,NO DOOR 105.CMR.410.500 (A) 2Rear entry door broken completely of hinges ,Owner,"",09/15/2025,Corrected,1333720
HSNG-25-388,105.CMR.410.330 smoke detector disabled on rear stairwell second floor and basement,Owner,"",09/15/2025,Cited,""
HSNG-25-385,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.(Smoke detector is non-functional. Basement is missing a working smoke and CO detector)",Owner,Basement,08/20/2025,Corrected,""
HSNG-25-385,Smoke and CO detector has been installed in basement,"","","",Corrected,""
HSNG-25-357,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.Note: Referral made to Springfield Fire Department - Owner must contact Springfield Fire Department at 413-787-6410 to obtain a compliance certificate verifying correction of above violations.( smokes/ co2 detectors missing ) ",Owner,"","",Cited,""
HSNG-25-357,Smoke/ co2 detectors missing ,Owner,"","",Cited,""
HSNG-25-354,"",Owner,"","",Cited,""
HSNG-25-354,"General provisions -  105.CMR.410.003 (A) (No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.) Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410. 330: (A) (Multiple missing smoke detectors and carbon monoxideStructural members unsound  105.CMR.410.500 (A) (1) (2) (Bathroom Sink, vanity, unsecured wall, movable) ",Owner,"","",Cited,""
HSNG-25-354," Owner’s Installation, Maintenance and Repair Responsibilities -105.CMR.410.235 (A)( 2)(12)(Bathtub/Shower, temperature adjustment knob, broken, missing. Multiple burnt out outlets in bedroom number one, bathroom, and kitchen areas.) ",Owner,"","",Cited,""
HSNG-25-354,"kitchen facilities, - 105.CMR.410.100 (A) (5) (Oven/stove, defective, red tagged by Eversource) ",Owner,"","",Cited,""
HSNG-25-354,INFESTATION OF ROACHES - RAT - MICE - VERMIN 105.CMR.410.550 (A) (B)(Infestation of mice) ,Owner,"","",Cited,""
HSNG-25-339,"105 CMR 410.235 (A,13) Owner’s Installation and Maintenance Responsibilities ( Carbon monoxide detectors not working in both bedrooms)",Owner,"","",Corrected,""
HSNG-25-325,INSUFFICIENT HOT WATER 105.CMR.410.150 (B) COULD BE ( C )House has no hot water ,Owner,"",08/11/2025,Cited,1322023
HSNG-25-312,105.CMR.410.330: (A) Smoke Detectors and Carbon Dioxide Detectors ( smokes/ co2 detectors missing ) ,Owner,"",08/12/2025,Cited,""
HSNG-25-312,526 Grayson dr - basement smoke/ co2 detector missing ,Owner,"","",Cited,""
HSNG-25-312,526 Grayson drive smoke/ co2 detector missing ,"","","",Cited,""
HSNG-25-292, 105.CMR.410.330 (A)(Basement is missing a smoke detector and carbon monoxide alarm),Owner,"",08/07/2025,Cited,1320201
HSNG-25-290,"105 CMR 410.235 (A,13) Owner’s Installation and Maintenance Responsibilities (Missing smoke detector first floor)",Owner,"","",Corrected,""
HSNG-25-274,"CEILING - SAGGING - HAZARDOUS 105.CMR.410.500 (A) 1, 2.THE KITCHEN, ADJACENT BEDROOM, AND THE ADJACENT BATHROOM, HAVE EXTREME WATER DAMAGE WHICH I IS COMING FROM AN UNKNOWN SOURCE. THE WATER LEAK HAS SOAKED MULTIPLE FIXTURES AND WIRES.",Owner,1 L,08/08/2025,Cited,""
HSNG-25-257," 105.CMR.410.270 (A) (1) (3)(Entryway doors to 96 Maple St do not lock, residence is unsecured from unlawful entry)",Owner,"",08/04/2025,Corrected,1318977
HSNG-25-257,"105.CMR.410.270 (A) (1) (3)(Entryway door to 90 Maple St does not lock, residence is unsecured from unlawful entry)",Owner,"",08/04/2025,Corrected,1318978
HSNG-25-251,"","","","",Corrected,""
HSNG-25-251,61 Wilcox st- no water or electrical service to entire dwelling ,"","","",Corrected,""
HSNG-25-248,"",Owner,"","",Cited,""
HSNG-25-248,SMOKE AND/OR WATER DAMAGE 105.CMR.410.500 (A) 2(Emergency ) Multiple missing smoke detectors throughout unit) ,Owner,"","",Cited,""
HSNG-25-248,"BALLUSTERS ARE MISSING OR BROKEN 105.CMR.410.520 (A) (1) (Front stairway, hand, drilling unsecured wall) ",Owner,"","",Cited,""
HSNG-25-248,"SCREENS FOR WINDOWS MISSING 105.CMR.410.540 (A) (1) (Kitchen screen and disrepair ripped, tattered, needs to be replaced) ",Owner,"","",Cited,""
HSNG-25-248,"MAINTENANCE OF LAND 105.CMR.410.570 (A) ( 1,2,3,4,5)LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Maintenance of land, litter, rear yard, broken gutter, parts piled in yard, sharp, jagged, edges, hazardous) ",Owner,"","",Corrected,""
HSNG-25-247,"105.CMR.410.330: (A) Smoke Detectors and Carbon Dioxide Detectors ( smokes / co2 detectors missing ) 105.CMR.410.235: (8,12,13) Owner’s Installation and Maintenance Responsibilities ( stove not working properly) ",Owner,"","",Cited,""
HSNG-25-247,"stove door missing , stove not working ",Owner,"","",Cited,""
HSNG-25-247,Smoke/co2 detectors missing ,"","","",Cited,""
HSNG-25-231,"",Owner,"","",Cited,""
HSNG-25-231,"Immediate condemnation of first floor dwelling unitCURTAILMENT OF SERVICE 105.CMR.410.003 ( C )( emergency curtailment of services, electric services shut off due to nonpayment on 9/5/24 per Eversource , no electric services at the property at this time)structural members -  105.CMR.410.500 (A)(1) (2) (Ceiling and wall water damage, room number one) ",Both,"","",Cited,""
HSNG-25-218,"",Owner,"","",Cited,""
HSNG-25-218,"CURTAILMENT OF SERVICE 105.CMR.410.003 ( C )(Emergency, no power to first or second floor due to nonpayment) ",Both,"","",Cited,""
HSNG-25-218,EXPOSED WIRES 105.CMR.410.235 (A) 12(Front porch light fixture exposed wires) ,Owner,"","",Cited,""
HSNG-25-208,"105.CMR.410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(B) Unless otherwise specified in 105 CMR 410.000, the owner is responsible for providing all maintenance, repairs, and equipment necessary to achieve compliance with 105 CMR 410.000.105.CMR.410.150: Hot WaterThe owner shall provide and maintain in good operating condition facilities capable of heating and delivering hot water:(A) In a quantity and pressure sufficient to satisfy the ordinary use of all plumbing fixtures which normally need hot water for their proper use and function.(B) In a temperature range of not less than 110° F(43°C) and not greater than 130°F (54°C) for fixtures other than a bathtub or shower.(Temperature at inspection 70.1 degrees)",Owner,"","",Cited,1317191
HSNG-25-208,105.CMR.410.260: Means of Egress(A) Every residence shall have at a minimum two means of egress and every dwelling unit and rooming unit shall have a sufficient number of egresses as will allow for the safe passage of all people.(One means of Egress.),Owner,"","",Cited,1317196
HSNG-25-203," 105.CMR.410.130 (B) 2(Plumbing issues causing sewage backup, raw sewage and standing water in basement)",Owner,"",07/28/2025,Corrected,1316670
HSNG-25-200,"Smoke Detectors and Carbon Monoxide Alarms 105.CMR.410. 330: (A)(Emergency Multiple missing smoke detectors on third-floor) Kitchen Facilities -  105.CMR.410.100: (A) (5) (Emergency, no stove/proper kitchen facilities) PROTECTIVE RAILINGS ARE MISSING 105.CMR.410.520 (A) (1)(third floor protective hand railings are in disrepair, unsecured to the wall) ",Owner,"","",Cited,""
HSNG-25-165,"IMMEDIATE CONDEMNATION 3RD FLOOR105.CMR.410.003: General Provisions(A) No owner shall allow a person to occupy, offer to rent, or occupy as owner-occupant any residence which does not comply with the requirements of 105 CMR 410.000.(Illegal 3rd Flr Dwelling unit)  105.CMR.410.630: Conditions Deemed to Endanger or Materially Impair Health or Safety (A)8,15105.CMR.410.260: Means of Egress(A) Every residence shall have at a
minimum two means of egress and every dwelling unit and rooming unit shall have
a sufficient number of egresses as will allow for the safe passage of all
people.(3rd Floor unit has only 1 means of
egress) 105.CMR.410. 330: Smoke Detectors
and Carbon Monoxide Alarms(A) The owner shall provide,
install, and maintain in operable condition smoke detectors and carbon monoxide
alarms in every residence that is required to be equipped with smoke detectors
and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and
780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts
Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code
and in compliance with accepted standards as defined by 105 CMR 410.010.Note: Referral made to Springfield
Fire Department - Owner must contact Springfield Fire Department at
413-787-6410 to obtain a compliance certificate verifying correction of above
violations.(Smoke
detectors missing throughout unit.)",Owner,3rd Flr,"",Cited,""
HSNG-25-165,"",Owner,"","",Cited,1317850
HSNG-25-165,"",Owner,"","",Cited,1317852
HSNG-25-153,"105CMR.410 410.260:
Means of Egress(B)(tenants)(3rd floor obstruction of means of egress, a/c and house items blocking 3rd front egress dwelling unit)",Tenant,3RD FL,"",Cited,""
HSNG-25-153,"105CMR.410 410.260:
Means of Egress(B)(D)(owner)(3rd
floor obstruction of means of egress, a/c and house items blocking 3rd front
egress dwelling unit)",Owner,"","",Cited,""
HSNG-25-153,"105.CMR.410.330: Smoke
Detectors and Carbon Monoxide Alarms(A)(Missing smoke detectors on 1st floor common are)",Owner,"","",Cited,""
HSNG-25-153,"105.CMR.410.330: Smoke
Detectors and Carbon Monoxide Alarms(A)(Missing smoke detectors on 2nd floor common area)",Owner,"","",Cited,""
HSNG-25-126,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms. (A) (Basement is missing carbon monoxide detector ),Owner,Basement,09/09/2025,Cited,""
HSNG-25-125,"105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms(A) The owner shall provide, install, and maintain in operable condition smoke detectors and carbon monoxide alarms in every residence that is required to be equipped with smoke detectors and carbon monoxide alarms in accordance with M.G.L. c. 148, §§ 26 C-F1/2 and 780 CMR: Massachusetts State Building Code, 527 CMR 1.00: Massachusetts Comprehensive Fire Safety Code, and 248 CMR 10.00: Uniform State Plumbing Code and in compliance with accepted standards as defined by 105 CMR 410.010.",Owner,"","",Cited,1313386
HSNG-25-125,"105.CMR.410.270:Locks (A) The owner shall provide, install and maintain locks in the following manner and shall comply with the requirements of 780 CMR: Massachusetts State Building Code and 521 CMR: Architectural Access Board Regulations, and M.G.L. c. 143 § 3R so that:(1) Every residence shall be capable of being secured against unlawful entry.(Rear egress door(Kitchen).Deadbolt lock,broken missing.)",Owner,"","",Cited,1313392
HSNG-25-121,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms. (A)(hardwired smoke and CO detector in basement is non-functional),Owner,"",07/24/2025,Corrected,1317650
HSNG-25-121,(Smoke CO detector at rear first floor stairway is non-functional),Owner,"",07/24/2025,Corrected,1317649
HSNG-25-121,(Missing hardwired smoke and CO detector at rear second floor stairway),Owner,"",07/24/2025,Corrected,1317648
HSNG-25-118,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms. (A)(Missing smoke and CO detector in living room),Owner,Second floor,07/29/2025,Corrected,1319498
HSNG-25-118,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms. (A)(Missing smoke and CO detector in basement),Owner,Basement,07/29/2025,Corrected,1319499
HSNG-25-97,"Entire dwelling Immediate condemnation due to fire and illegal bedroom basement105.CMR.410.003: General Provisions(C)(A)(No electricity service due to fire in basement and makeshift bedroom in basement)105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)12(solar panels in disrepair due to fire)105CMR.410 410.260: Means of Egress(A)(Basement doesn’t have two means of  Egress)105.CMR.410.330: Smoke Detectors and Carbon Monoxide Alarms(A)(Missing smoke detectors / carbon monoxide detector throughout dwelling)105.CMR.410.500) (A)(1)(2) Smoke / water and Fire damage wall's/ceilings in part of second floor, bathroom, inner hallway also roof open to elements)105.CMR. 410.520:(A)3 Protective Railings and Walls(Missing railing on balcony)Yard: 105.CMR. 410.570: Maintenance of Areas in a Sanitary and Safe Condition(A)5(Exterior debris)105.CMR.410. 630: (A)8,3,12,16,15,13Conditions Deemed to Endanger or Materially Impair Health or Safety",Owner,"","",Cited,1312028
HSNG-25-97,"","","","",Cited,1312030
HSNG-25-97,"","","","",Cited,1312035
HSNG-25-97,"","","","",Cited,1312040
HSNG-25-97,"","","","",Cited,1312041
HSNG-25-97,"","","","",Cited,1312042
HSNG-25-97,"","","","",Cited,1312043
HSNG-25-97,105.CMR. 410.520:(A)3 Protective Railings and Walls(Real balcony missing railing part),Owner,"","",Cited,1312055
HSNG-25-97,Yard: 105.CMR. 410.570: Maintenance of Areas in a Sanitary and Safe Condition(A)5(Exterior debris),Owner,"","",Cited,1312058
HSNG-25-96,105.CMR.410. 330: Smoke Detectors and Carbon Monoxide Alarms.(A)(Hardwired smoke detector in hallway missing)Note: Unit has a working standalone carbon monoxide detector,Both,3C,08/01/2025,Corrected,1319790
HSNG-25-96,(Smoke detector outside bedroom is non-functional),Both,3C,08/01/2025,Corrected,1319783
HSNG-25-96, 105.CMR.410.240. Occupants installation and maintenance responsibilities. (B) (5)(Tenant removed hardwired smoke detector from hallway. Detector is working. Just needs to be reinstalled),Both,3C,08/01/2025,Corrected,1319782
HSNG-25-93,"OBSTRUCTED EGRESS OR PASSAGEWAY 105.CMR.410.260 (COULD BE B,C,D)(Rear door in hall screwed shut, tenant to remove items blocking rear exit in apartment",Owner,BB,"",Cited,1317364
