Record #,Code / Description,Responsible Party,Unit(s),Status,Picture,Correction Required By:
HSNG-25-913,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Trash, litter, paper, plastic, cardboard, bed, frames, mirrors, etc.) ",Owner,"",Corrected,"",""
HSNG-25-912,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Whoever, being the owner, occupant, or in control of real estate, permits, allows or suffers an unregistered motor vehicle or a substantial part of such motor vehicle to remain on said premises for a period in excess of 12 days shall be punished by a fine and each day that such unregistered motor vehicle or a substantial part thereof is permitted, allowed or suffered to remain on said premises in excess of 12 days constitutes a separate offense. ( truck needs to be removed or registered ) .",Owner,"",Corrected,"",10/10/2025
HSNG-25-912,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Tires. Etc Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.",Owner,"",Corrected,"",""
HSNG-25-912," Chapter 327 article 1§327-7(A).Placement of containers for rubbish and yard waste. Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. ",Owner,"",Cited,"",""
HSNG-25-911,"OVERGROWTH VACANT LOT CHAPTER 327 Article I § 327-13 L (2) (Grass, weeds, shrubs, bushes, exceeding 6 inches, must be cut and properly maintained)LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Trash, litter, paper, plastic, cardboard, bottles, etc.)",Owner,"",Cited,"",""
HSNG-25-910,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Dresser and litter left on sidewalk in front of property),Owner,"",Corrected,1339086,10/14/2025
HSNG-25-909,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(Pile of junk, mattresses, plastic totes, cardboard, miscellaneous items, cluttered around trash reciprocal)NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.",Owner,Exterior,Cited,"",""
HSNG-25-909,"","","",Cited,"",""
HSNG-25-907,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Bulk appliances and furniture accumulated in backyard),Owner,"",Corrected,1339082,10/27/2025
HSNG-25-906,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(trash, litter, paper, plastic, cardboard, boxes, tires, broken glass, bags, miscellaneous debris, bulk items, surrounding building and parking lot)Removal of graffiti by property owner or City. Chapter 201 Article I § 201-10 (A)If graffiti is not removed by the violator according to this article, graffiti shall be removed pursuant to the following provisions:Property owner responsibility. It is unlawful for any person who is the owner or who has primary responsibility for control of property or for repair or maintenance of property in the City to permit property that is defaced with graffiti to remain defaced for a period of 10 days after service by first class mail of notice of the defacement.  ",Owner,"",Cited,"",""
HSNG-25-905,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Etc.Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.",Owner,"",Cited,"",10/14/2025
HSNG-25-905,"SECTION: 327.7 Placement of Containers for Rubbish, Recycling and Yard Waste(Automated containers after collection shall be returned to a secure location. With the exceptions of automated container being stored in a garage or shed, the automated container shall not be stored anywhere closer to the street than the extension of any existing building line that faces any street unless the automated container is screened from public view by shrubbery, foliage, a fence, or a wall.  Automated containers are not to be left curbside, streetside, or roadside overnight after the day of collection. )",Owner,"",Cited,"",10/14/2025
HSNG-25-904,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Large accumulation of miscellaneous construction debris),Owner,"",Corrected,1339079,10/14/2025
HSNG-25-903,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Bulk furniture and litter left by waste barrels) ,Owner,"",Cited,1339077,10/14/2025
HSNG-25-902,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Mattress spring left on sidewalk in front of property),Owner,"",Corrected,1339076,10/14/2025
HSNG-25-901,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)( white ford ),Owner,"",Cited,"",10/10/2025
HSNG-25-901,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (A)YARD/PROPERTY/TREEBELTMiscellaneous Debris, Litter, Plastic, Cardboard, Mattresses, household items, Etc. Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  Street Area",Owner,"",Cited,"",10/10/2025
HSNG-25-899,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)TV Stand left of the treebelt,Owner,"",Corrected,1339045,10/03/2025
HSNG-25-898,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)China Cabinet left on the treebelt,Owner,"",Corrected,1339027,10/03/2025
HSNG-25-897,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A) Placement of Containers for Ashes & Rubbish – Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Water Cooler and Trash Barrel left on the treebelt,Owner,"",Cited,1339011,10/03/2025
HSNG-25-896,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( couch on lawn),Owner,"",Cited,1338885,10/27/2025
HSNG-25-895,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Office chair on the treebelt,Owner,"",Corrected,1338841,10/03/2025
HSNG-25-894,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( furniture on front lawn tree belt,Owner,"",Cited,1338827,10/21/2025
HSNG-25-890," 105.CMR.410.500 (A) (1) (2)(Water damage/spots on ceilings throughout second floor bedrooms, significant water and structural damage in rear bedroom ceiling, ceiling is sagging and appears unstable)",Owner,"",In Progress,"",10/27/2025
HSNG-25-889," 105.CMR.410.550 (B)(Severe cockroach infestation, several glue traps covered with dead and live roaches, live roaches observed on walls)",Owner,"",Cited,"",10/30/2025
HSNG-25-888,105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Holes throughout unit)105.CMR.410.550 Elimination of Pests(A)(Mice’s droppings) ,Owner,"",Cited,"",""
HSNG-25-887,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( grass, bushes along tree belt Sumner Ave)",Owner,"",Cited,1338309,10/14/2025
HSNG-25-886,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( grass, bushes along tree belt Sumner Ave)",Owner,"",Cited,1338297,10/14/2025
HSNG-25-885,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( grass, bushes along tree belt Sumner Ave)",Owner,"",Cited,1338287,10/14/2025
HSNG-25-884,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( grass, bushes along tree belt on Sumner Ave)",Owner,"",Cited,1338277,10/14/2025
HSNG-25-883,"INFESTATION OF ROACHES - RAT - MICE - VERMIN 105.CMR.410.550 (A) ( B)(Infestation of mice) Owner’s Installation, Maintenance and Repair Responsibilities -  105.CMR.410.235 (A)(1) (Bathroom sink leaking) ","","",Cited,"",""
HSNG-25-882,"105 CMR 410.500 (A,1,2) Owner’s Responsibility to Maintain Building and Structural Elements (Front steps breaking apart, hole in front yard, vines in gutters)105 CMR 410.570 Maintenance of Areas in a Sanitary and safe condition(A,3,5)(Hole in front lawn)",Owner,"",Cited,"",""
HSNG-25-881,"105 CMR 410.570 Maintenance of Areas in a Sanitary and Safe Condition Maintenance of Land – YARD PROPERTY TREEBELT AND GUTTERPaper,Plastic,Cardboard,EtcProperty must be cleaned and maintained at all timesTo Avoid A Possible $100.00 Ticket Every 3 Days Until Property Is Completely Cleaned And Maintained. Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.    NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAYTO AVOID IMMEDIATE TICKET(Litter around property)",Owner,"",Corrected,"",""
HSNG-25-879,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities (A) (1) (3) (8)The owner shall ensure proper installation, in compliance with accepted standards and shall maintain in operable condition free from leaks, obstructions or other defects, all facilities and equipment which the owner is required to provide, and all owner installed equipment:(A) The facilities and equipment the owner is required to provide include, but are not limited to: (1) Sinks(3) Toilets(8) Conventional cook top and ovens(Front right burner on stove is defective)",Owner,Second floor,Cited,"",11/25/2025
HSNG-25-879,105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements (A) (2)(Handrail going from 2nd to 3rd floor is loose. Screws are coming loose and wall is starting to crumble)(Wall and ceiling cracked on rear stairway leading to second floor)(Wall cracked on rear stairway leading to third floor)(Ceiling cracked and second floor hallway outside bathroom)(Paint peeling on wall and third floor bedroom)(Door knob to second floor rear porch door is missing)(Hole/dip in floor underneath rug on top of second floor stairs. Trip hazard),Owner,Second floor,Corrected,"",""
HSNG-25-878,"structural members -  105.CMR.410.500 (A) (1) (2) (Exterior paint, peeling, facia boards/siding hanging from second floor front porch)LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(three broken TVs, trash, litter, bulk items)",Owner,"",Cited,"",""
HSNG-25-876,"structural members -  105.CMR.410.500 (A) (1) (2) (Front porch, floorboards, rotting, paint, peeling, chipping)",Owner,"",Cited,"",""
HSNG-25-877,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)(9)( tub drain leaking in basement)",Owner,"",In Progress,"",12/11/2025
HSNG-25-877,"",Owner,1,Cited,"",10/29/2025
HSNG-25-877,"105.CMR410.235: Owner’s Installation and Maintenance Responsibilities(A)(1)( bathroom sink leaking)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)(2)( bubbling ,peeling paint behind kitchen stove area)",Owner,"",Cited,"",12/11/2025
HSNG-25-877,"105. cMR. 410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)(9)( tub drain leaking in basement)",Owner,"",Cited,"",""
HSNG-25-877,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)(9)( tub drain leaking in basement)",Owner,"",Cited,"",12/11/2025
HSNG-25-875,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Accumulation of bulk litter items in yard),Owner,"",Corrected,1337999,10/15/2025
HSNG-25-871,OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Large brush pile on tree belt),Owner,"",Cited,1337953,10/24/2025
HSNG-25-871,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Bulk furniture left on tree belt in front of residence),Owner,"",Cited,1348696,11/14/2025
HSNG-25-870,OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( tree belt area along sidewalk. Cooley St. Side and Parker St.),Owner,"",Cited,1337951,10/15/2025
HSNG-25-869,OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Tree belt is overgrown),Owner,"",Corrected,1337950,10/08/2025
HSNG-25-868,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Air Conditioner/Scrap metal left on treebelt ,Owner,"",Cited,1337943,10/01/2025
HSNG-25-867,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Loose litter throughout property, miscellaneous bulk items piled in front yard)",Owner,"",Cited,"",10/15/2025
HSNG-25-866,"SCREENS FOR WINDOWS MISSING 105.CMR.410.540 (A)Living Room WindowWindow Sill Paint Peeling, Remove Loose Paint, Repaint 105.CMR.410.500(A)2Living Room wall Paint Peeling, Remove Loose Paint, Repaint 105.CMR.410.500(A)2Living Room Floor Tile Broken 105.CMR.410.500(A)2Bedroom Floor Tile Broken 105.CMR.410.500(A)2Hallway Floor Tile Broken 105.CMR.410.500(A)2Living Room Closet Door Off Track 105.CMR.410.500(A)2Bathroom Ceiling Popcorn Peeling 105.CMR.410.500(A)2Outlet Living Room Right Wall Loose 105.CMR.410.235(12)",Owner,"",Corrected,"",10/27/2025
HSNG-25-865,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Red Honda Civic,Owner,"",Corrected,1337802,10/08/2025
HSNG-25-864,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Accumulation of loose litter around sidewalk, tree belt, and by garage area)",Owner,"",Corrected,"",10/08/2025
HSNG-25-861,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Accumulation of loose litter in front of residence and along tree belt and sidewalk),Owner,"",Cited,"",10/08/2025
HSNG-25-862,"105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements( A)( side porch collapsing, structural members unstable)",Owner,"",Cited,1337763,10/24/2025
HSNG-25-863,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition(B) Residences:The occupants of any residence shall be responsible for maintaining, in a sanitary condition and free of refuse or other filth or causes of sickness, that part of the residence which they exclusively occupy or control.105.CMR.410.003: General Provisions(E) Every occupant of a residence, upon reasonable notice and if possible by appointment, shall give the owner thereof, or the owner’s representative, access to the residence for the purpose of effecting compliance with the provisions of 105 CMR 410.000. Access shall be at a reasonable time and shall include, but not be limited to, any cooperation required for repairs, alterations, pest elimination, and service of utilities. An owner shall provide at least 48 hours’ notice to the occupant, except for emergency repairs for which no notice is required.(F) Every occupant of a residence shall maintain the residence in a sanitary condition. 410.010: Definitions",Tenant,653,Corrected,1345150,""
HSNG-25-863,"105.CMR.410.500 Owners responsibility to maintain structural elements.(A) every owner of a residence shall maintain all building structural elements in compliance with accepted standards, so they are in good repair, and in every way fit for intended use.(Ceiling vent(Bathroom)Broken. Paint peeling (Bathroom)",Owner,653,Corrected,1337797,""
HSNG-25-863,"","","",Cited,1345151,""
HSNG-25-860,"OWNERS RESPONSIBILITY TO MAINTAIN BUILDING & STRUCTURAL ELEMENTS (105.CMR.410.500) (A)THE FRONT COMMON HALLWAY, BASEMENT DOOR IS NOT SECURED. THE FRONT COMMON HALLWAY DOOR IS ALSO NOT SECURED (MISSING LOCK). THE REAR BASEMENT DOOR IS ALSO NOT SECURED. ",Owner,"",Cited,"",09/30/2025
HSNG-25-860,"OWNERS RESPONSIBILITY TO MAINTAIN BUILDING AND STRUCTURAL ELEMENTS. (105. CMR. 410. 500.)Basement door not secured Front COMMON HALLWAY DOOR, NOT SECURED.",Owner,Entire Building ,Cited,"",09/30/2025
HSNG-25-859,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( furniture on tree belt),Owner,"",Cited,1337674,10/23/2025
HSNG-25-857,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Significant overflow of litter in dumpster),Owner,"",Corrected,1337476,10/07/2025
HSNG-25-856,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street. NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.(Mattress, child toys, trash bags, miscellaneous items in yard debris on side of property. Logan Street)",Owner,Exterior,Cited,"",12/02/2025
HSNG-25-854,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;",Owner,"",Corrected,1337362,""
HSNG-25-853,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Overgrowth On Parcel Of Land-Yard—Heavy Overgrowth Of Grass, Weeds, Vines, Bushes, Shrubs, Small Trees, Wild, Growth, Leaves, ETC. Note: Yard And Property Must Be Cut, Cleaned, And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible For Tree Belt And To Maintain From Property Line To 3 Feet Into Street Area.LITTER UNOCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)(Pieces of foam mattress on rear porch)",Owner,Exterior,Cited,"",11/05/2025
HSNG-25-852,105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition( household furniture on treebelt no bulk pickup scheduled) Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times .Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into  nStreet Area.  NOTE; SPECIAL PICK UP ITEMS AND/OR TRASH RECEPTACLES MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY.,Owner,"",Corrected,"",""
HSNG-25-850,"There is a large pile of bulk trash, which includes construction debris, furniture, etc. in the backyard. It must be cleaned to avoid further action, such as ticketing, and or court referral upon reinspection.LITTER OCCUPIED. CHAPTER 327 ARTICLE 1 SECTION 327–13 (1) (A)",Owner,"",Cited,"",""
HSNG-25-849,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( furniture on lawn),Owner,"",Cited,1337280,10/23/2025
HSNG-25-846,INFESTATION OF ROACHES - RAT - MICE - VERMIN 105.CMR.410.550 (A) ( B)(Infestation of roaches) ,Owner,"",Cited,"",""
HSNG-25-844,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Refrigerator left on the treebelt ,Owner,"",Corrected,1336911,09/29/2025
HSNG-25-843,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Broken box spring left in driveway area),Owner,"",Corrected,1336901,10/06/2025
HSNG-25-841,"",Owner,"",Corrected,"",""
HSNG-25-841,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Tires,paper,plastic,cardboard,trash,etc)","","",Corrected,"",""
HSNG-25-840,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Sofa left on treebelt,Owner,"",Cited,1336891,09/29/2025
HSNG-25-839,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.(Chairs, and miscellaneous items on tree belt)",Owner,Exterior,Cited,"",10/15/2025
HSNG-25-837,"LITTER OCCUPIED CHAPTER 327 Article I § 327-13 (1) (A)Note: Yard And Property Must Be Cut Cleaned And Maintained At All Times to avoid fines upon re-inspection.Note: Owner Is Responsible To Maintain From Property Line And 3 Feet Into Street Area.  NOTE; SPECIAL PICK UP ITEMS MUST ONLY BE PUT OUT THE NIGHT BEFORE SCHEDULED PICK UP DAY TO AVOID IMMEDIATE TICKET.(mattress, furniture, dishwasher, and miscellaneous items on tree belt)",Owner,Exterior.,Corrected,"",10/10/2025
HSNG-25-838,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Black BMW, Beige Volvo Wagon",Owner,"",Corrected,1336882,10/07/2025
HSNG-25-836,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Sofa and Love Seat left on the curb ,Owner,"",Corrected,1336856,09/29/2025
HSNG-25-835,"LITTER OCCUPIED CHAPTER 327 ARTICLE ONE SECTION 327–13 (1) (A)* THERE ARE BULK AT ITEMS IN THE YARD NEAR THE FRONT FENCE, WHICH MUST BE CLEANED TO AVOID IMMEDIATE TICKETING UPON REINSPECTION. TIRES, HOUSEHOLD ITEMS, FURNITURE,  ETC. ",Owner,"",Cited,1336860,10/15/2025
HSNG-25-834,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( couch on tree belt),Owner,"",Cited,1336852,10/22/2025
HSNG-25-833,Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)( furniture),Owner,"",Cited,1336848,10/22/2025
HSNG-25-831,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D) Litter on treebelt along Brookburn Street,Owner,"",Corrected,1336823,10/06/2025
HSNG-25-831,Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)Chrysler Pacifica,Owner,"",Cited,1336836,10/07/2025
HSNG-25-830," 105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements( Steel Fence Is Broken, Leaning, Parts Missing, Unstable, And In Disrepair, Etc.Note: Fence Must Be Repaired, Replaced, Or Removed Upon Re-Inspection.)",Owner,"",Cited,"",""
HSNG-25-829,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Trash,Tires,House hold items,Furniture,Etc)",Owner,"",Cited,"",10/07/2025
HSNG-25-828,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public. (Furniture/Bulk items)",Owner,"",Cited,1336762,10/07/2025
HSNG-25-827,"105.CMR.410.570: Maintenance of Areas in a Sanitary and Safe Condition (A) Land:The owner of any parcel of land, vacant or otherwise, shall be responsible for maintaining such parcel of land in a clean, safe, and sanitary condition and free from:(1) Refuse;(2) Pests;(3) Potential injury hazards;(4) Conditions contributing to the accumulation of standing water; or(5) Any other condition which affects the health, safety, or well-being of the occupants of any residence or of the general public.(Bulk items/Furniture,Trash,Mattresses Etc..Front and Rear of Property)",Owner,"",Corrected,"",""
HSNG-25-824,"Unregistered Motor Vehicle Chapter 327 Article 1 § 327-14 (A/B)( Nissan,  White)",Owner,"",Cited,"",10/21/2025
HSNG-25-823,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Trunk and cushion left on the treebelt,Owner,"",Corrected,1336651,09/29/2025
HSNG-25-822,OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Treebelt on Centre Street has overgrowth,Owner,"",Corrected,1336560,09/29/2025
HSNG-25-819,"105 CMR 410.570 Maintenance of Areas in a Sanitary and Safe Condition (A,5)OVERGROWTH VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Extreme overgrowth impairing vision of motorists)","","",Cited,"",""
HSNG-25-818,OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Overgrowth front yard and treebelt along Decatur Street,Owner,"",Cited,1336322,""
HSNG-25-818,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Placement of Containers for Ashes & Rubbish – Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A) Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D),Owner,"",Cited,1341260,""
HSNG-25-817,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D)Tree branches left on the treebelt ,Owner,"",Cited,1336305,09/26/2025
HSNG-25-816,"105.CMR.410.550 Elimination of Pests(A) (Mice droppings)105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities(A)2(Tub needs caulking/ peeling paint)105.CMR.410.500: Owner's Responsibility to Maintain Building and Structural Elements(A)2(Tub peeling pain/wall water damage)(Kitchen countertop loose)(Holes throughout unit)(Screen installed not properly screwed window can be open)",Owner,"",Cited,"",""
HSNG-25-815,Placement of Containers for Ashes & Rubbish – Tree belt & Sidewalk CHAPTER 327 Article I § 327-7 (A) Litter - Public Street CHAPTER 327 Article I § 327-13 (C/D),Owner,"",Cited,1336262,09/24/2025
HSNG-25-814,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Brush pile accumulated with litter in backyard),Owner,"",Cited,1336254,10/20/2025
HSNG-25-812,"OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Brush pile left on sidewalk, blocking walkway, Clark St side)",Owner,"",Corrected,1336250,10/03/2025
HSNG-25-813,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities ( A)(1,9)( kitchen sink drain leaking).",Owner,"",Cited,1336291,09/22/2025
HSNG-25-811,LITTER OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)( construction debris in yard),Owner,"",Cited,1336200,10/20/2025
HSNG-25-810,LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Accumulation of miscellaneous and bulk litter on property),Owner,"",Cited,1336090,10/03/2025
HSNG-25-808,"LITTER VACANT LOT CHAPTER 327 Article I § 327-13 L (2)(Totes and miscellaneous items scattered around empty lot)Note: progress has been made, litter still remains at time of inspection.",Owner,Exterior,Corrected,"",""
HSNG-25-808,"","","",Cited,"",""
HSNG-25-807,OVERGROWTH OCCUPIED CHAPTER 327 Article I § 327-13 L. (1) (A)(Tree belt in front of property is overgrown),Owner,"",Corrected,1335967,10/09/2025
HSNG-25-806,"105.CMR.410.550 Elimination of Pests (B) (G)(B)The owner of a residence containing two or more dwelling units, including a homeless shelter or a rooming house, shall maintain it and its premises free from infestation and shall be responsible for pest elimination.(G) Owners shall make the documented inspection results and actions taken available upon request by the board of health. Documentation shall include:(2) Eliminating entry points for pests;(3) Documenting results of the inspection(Dwelling has mice infestation)",Owner,First floor unit,Cited,"",""
HSNG-25-806,"105.CMR.410.235: Owner’s Installation, Maintenance and Repair Responsibilities (A) (8)The owner shall ensure proper installation, in compliance with accepted standards and shall maintain in operable condition free from leaks, obstructions or other defects, all facilities and equipment which the owner is required to provide, and all owner installed equipment:(Stove is missing back panel/exposed wiring. evidence of mice hiding in insulation. Smell from oven when turned on)",Owner,First floor unit,Cited,"",""
